ID,class_ID,class_name,season_IMG,season_big_IMG,card_IMG
236,LA,Liverpool Ambassador,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/la.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/la_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/la.png
804,23NG,23 NEW GENERATION,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23ng.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23ng_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/23ng.png
276,22NG,22 NEW GENERATION,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/22ng.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/22ng_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/22ng.png
262,21NG,21 NEW GENERATION,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/21ng.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/21ng_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/21ng.png
238,20NG,20 NEW GENERATION,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/20ng.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/20ng_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/20ng.png
219,19NG,19 NEW GENERATION,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/19ng.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/19ng_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/19ng.png
218,OTW,Ones To Watch,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/otw.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/otw_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/otw.png
217,COC,Competitor Of Continents,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/coc.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/coc_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/coc.png
216,HOT,Heroes Of the Team,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/hot.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/hot_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/hot.png
214,TC,Tournament Champions,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/tc.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/tc_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/tc.png
213,MCICON,Man City ICON,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/mcicon.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/mcicon_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/mcicon.png
210,GR,Golden Rookies,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/gr.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/gr_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/gr.png
207,TT,Top Transfer,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/tt.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/tt_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/tt.png
206,TB,Tournament Best,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/tb.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/tb_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/tb.png
202,TKI,Team Korea Icon,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/tki.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/tki_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/tki.png
201,NHD,National Hero Debut,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/nhd.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/nhd_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/nhd.png
854,26TOTY,26 Team Of The Year,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/26toty.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/26toty_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/26toty.png
855,26TOTN,26 Team Of The Nominated,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/26totn.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/26totn_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/26totn.png
831,25TOTY,25 Team Of The Year,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/25toty.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/25toty_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/25toty.png
832,25TOTN,25 Team Of The Nominated,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/25totn.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/25totn_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/25totn.png
807,24TOTY,24 Team Of The Year,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/24toty.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/24toty_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/24toty.png
808,24TOTN,24 Team Of The Nominated,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/24totn.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/24totn_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/24totn.png
278,23TOTY,23 Team Of The Year,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23toty.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23toty_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/23toty.png
279,23TOTN,23 Team Of The Nominated,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23totn.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23totn_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/23totn.png
258,22TOTY,22 Team Of The Year,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/22toty.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/22toty_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/22toty.png
259,22TOTN,22 Team Of The Nominated,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/22totn.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/22totn_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/22totn.png
240,21TOTY,21 Team Of The Year,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/21toty.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/21toty_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/21toty.png
241,21TOTN,21 Team Of The Nominated,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/21totn.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/21totn_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/21totn.png
220,20TOTY,20 Team Of The Year,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/20toty.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/20toty_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/20toty.png
222,20TOTN,20 Team Of The Nominated,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/20totn.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/20totn_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/20totn.png
211,19TOTY,19 Team Of The Year,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/19toty.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/19toty_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/19toty.png
212,18TOTY,18 Team Of The Year,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/18toty.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/18toty_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/18toty.png
844,25TOTS,25 Team Of The Season,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/25tots.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/25tots_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/25tots.png
820,24TOTS,24 Team Of The Season,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/24tots.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/24tots_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/24tots.png
287,23TOTS,23 Team Of The Season,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23tots.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23tots_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/23tots.png
267,22TOTS,22 Team Of The Season,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/22tots.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/22tots_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/22tots.png
250,21TOTS,21 Team Of The Season,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/21tots.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/21tots_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/21tots.png
230,20TOTS,20 Team Of The Season,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/20tots.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/20tots_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/20tots.png
215,19TOTS,19 Team Of The Season,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/19tots.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/19tots_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/19tots.png
856,25UCL,25 UEFA Champions League,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/25ucl.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/25ucl_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/25ucl.png
834,24UCL,24 UEFA Champions League,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/24ucl.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/24ucl_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/24ucl.png
810,23UCL,23 UEFA Champions League,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23ucl.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23ucl_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/23ucl.png
280,22UCL,22 UEFA Champions League,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/22ucl.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/22ucl_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/22ucl.png
260,21UCL,21 UEFA Champions League,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/21ucl.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/21ucl_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/21ucl.png
